Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc,totalDistance,headshotRate,itemsUsed,playStyle
0.0,0.0,0.0,0,3,67.13,0,0,1,52,0,0,0,0.0,1857,0.0,28,28,1820,0,3383.0,0,0.0,0,0,2183.0,5,0,0.9259,5566.0,0.0,4,Survivalist
0.0,0.0,0.0,0,0,0.0,0,0,0,88,1033,0,0,0.0,1358,0.0,97,96,0,0,0.0,0,0.0,0,0,18.16,0,1510,0.0938,18.16,0.0,0,Survivalist
0.0,0.0,0.0,0,0,0.0,0,0,0,62,1148,0,0,0.0,1368,0.0,28,27,0,0,0.0,0,0.0,0,0,10.5,0,1512,0.0,10.5,0.0,0,Survivalist
0.0,0.0,0.0,0,0,69.27,0,0,1,84,1357,0,0,0.0,1820,0.0,29,27,0,0,0.0,0,0.0,0,0,133.6,3,1561,0.0357,133.6,0.0,1,Survivalist
0.0,0.0,0.0,3,6,755.9,8,0,6,1,0,10,3,211.1,1874,0.0,29,29,2154,0,12930.0,0,0.0,0,1,2201.0,6,0,1.0,15131.0,0.0,12,Aggressive
0.0,0.0,0.0,0,0,0.0,0,0,0,85,1000,0,0,0.0,1291,0.0,28,26,0,0,0.0,0,0.0,0,0,15.45,1,1500,0.1481,15.45,0.0,0,Survivalist
0.0,0.0,0.0,0,0,27.94,0,0,0,72,1661,0,0,0.0,1268,0.0,30,30,0,0,0.0,0,0.0,0,0,233.8,2,1628,0.2414,233.8,0.0,0,Survivalist
0.0,0.0,0.0,0,1,0.0,1,0,0,34,1269,1,1,0.8126,1374,0.0,29,28,0,0,0.0,0,0.0,0,0,1459.0,4,1561,0.6786,1459.0,0.0,1,Aggressive
0.0,0.0,0.0,0,2,235.5,2,2,5,16,0,1,1,27.72,1318,0.0,28,27,1457,0,0.0,0,0.0,0,0,2316.0,4,0,0.8889,2316.0,2.0,7,Aggressive
0.0,0.0,0.0,0,2,777.1,3,1,0,4,1411,5,2,238.9,1287,0.0,49,46,0,0,0.0,0,0.0,0,0,908.2,3,1439,0.5625,908.2,0.2,2,Aggressive
0.0,0.0,0.0,2,3,187.0,2,2,3,12,1809,2,1,41.95,1301,0.0,30,29,0,1,0.0,0,0.0,0,0,2473.0,2,1570,1.0,2473.0,1.0,6,Aggressive
0.0,0.0,0.0,0,0,282.0,3,4,1,8,1091,3,1,44.42,1289,0.0,28,27,0,1,0.0,0,0.0,0,0,1782.0,5,1495,0.7407,1782.0,1.3333333333333333,1,Aggressive
0.0,0.0,0.0,0,0,96.83,0,0,0,66,0,0,0,0.0,1377,0.0,29,26,1511,0,0.0,0,0.0,0,0,321.1,4,0,0.2857,321.1,0.0,0,Survivalist
0.0,0.0,0.0,0,0,28.6,0,0,0,78,1000,0,0,0.0,1312,0.0,49,48,0,0,0.0,0,0.0,0,0,193.2,2,1500,0.2083,193.2,0.0,0,Survivalist
0.0,0.0,0.0,0,0,100.0,1,0,0,83,1040,0,0,0.0,1284,0.0,28,27,0,0,0.0,0,0.0,0,0,116.7,3,1458,0.1481,116.7,0.0,0,Survivalist
0.0,0.0,0.0,0,0,0.0,0,0,0,55,1266,0,0,0.0,1313,0.0,27,27,0,0,0.0,0,0.0,0,0,1752.0,6,1489,0.0,1752.0,0.0,0,Survivalist
0.0,0.0,0.0,0,1,0.0,0,0,0,69,0,0,0,0.0,1899,0.0,25,24,1430,0,0.0,0,0.0,1,0,1200.0,2,0,0.0833,1200.0,0.0,1,Survivalist
0.0,0.0,0.0,0,0,187.8,0,1,0,30,1204,1,1,12.89,1904,0.0,49,47,0,0,6801.0,0,0.0,0,0,2085.0,4,1502,0.7917,8886.0,1.0,0,Aggressive
0.0,0.0,0.0,1,1,276.7,2,1,2,26,0,1,1,45.12,1360,0.0,49,49,1540,0,0.0,0,0.0,0,0,2594.0,4,0,0.9375,2594.0,1.0,3,Aggressive
0.0,0.0,0.0,2,2,0.0,8,2,2,1,1682,13,3,207.1,1820,0.0,28,27,0,3,1812.0,0,0.0,0,0,2635.0,7,1510,0.8889,4447.0,0.15384615384615385,4,Aggressive
0.0,0.0,0.0,0,0,0.0,0,0,0,43,0,0,0,0.0,1439,0.0,44,42,1511,0,0.0,0,0.0,0,0,1111.0,5,0,0.0,1111.0,0.0,0,Survivalist
0.0,0.0,0.0,0,0,78.79,0,0,0,85,1196,0,0,0.0,1772,0.0,26,25,0,0,0.0,0,0.0,0,0,299.3,3,1500,0.0,299.3,0.0,0,Survivalist
0.0,0.0,0.0,0,0,57.33,0,0,0,69,0,0,0,0.0,1379,0.0,49,48,1646,0,0.0,0,0.0,0,0,566.2,2,0,0.375,566.2,0.0,0,Survivalist
0.0,0.0,0.0,1,3,0.0,3,1,1,5,0,5,2,91.03,1900,0.0,47,46,1442,1,1104.0,0,0.0,0,0,3061.0,7,0,0.7174,4165.0,0.2,4,Aggressive
0.0,0.0,0.0,0,1,224.5,1,1,0,14,0,2,1,27.77,1745,0.0,29,28,1573,0,0.0,0,0.0,0,0,584.9,3,0,0.8571,584.9,0.5,1,Aggressive
0.0,0.0,0.0,0,2,0.0,0,0,0,68,0,0,0,0.0,1770,0.0,46,46,1485,0,0.0,0,0.0,0,0,743.4,6,0,0.3111,743.4,0.0,2,Survivalist
0.0,0.0,0.0,1,3,479.9,2,0,2,6,1085,3,1,86.72,1444,0.0,25,25,0,0,250.5,0,9.619,0,0,3311.0,3,1506,0.9583,3571.119,0.0,5,Aggressive
0.0,0.0,0.0,0,2,0.0,1,0,1,42,1367,1,1,22.12,1454,0.0,26,26,0,0,604.4,0,0.0,0,0,1100.0,3,1495,0.36,1704.4,0.0,3,Aggressive
0.0,0.0,0.0,0,2,46.48,0,0,2,49,0,0,0,0.0,1810,0.0,45,45,1508,0,4080.0,0,0.0,0,0,1599.0,3,0,0.6364,5679.0,0.0,4,Survivalist
0.0,0.0,0.0,0,1,0.0,0,0,0,54,1259,0,0,0.0,1312,0.0,48,43,0,0,0.0,0,0.0,0,0,1931.0,3,1492,0.5532,1931.0,0.0,1,Survivalist
0.0,0.0,0.0,1,8,472.8,1,1,9,1,1276,5,1,113.2,1868,0.0,43,39,0,1,5053.0,0,0.0,0,0,3355.0,8,1512,1.0,8408.0,0.2,17,Aggressive
0.0,0.0,0.0,2,5,0.0,4,5,5,4,0,4,1,125.5,1422,0.0,30,29,1499,0,0.0,0,0.0,0,0,0.0,10,0,0.0,0.0,1.25,10,Aggressive
0.0,0.0,0.0,0,0,29.4,0,0,1,62,1278,0,0,0.0,1434,0.0,49,47,0,0,0.0,0,0.0,0,0,557.1,3,1471,0.4375,557.1,0.0,1,Survivalist
0.0,0.0,0.0,0,0,0.0,0,0,0,92,0,0,0,0.0,1217,0.0,28,28,1432,0,0.0,0,0.0,0,0,3.815,0,0,0.0,3.815,0.0,0,Survivalist
0.0,0.0,0.0,0,0,0.0,0,0,0,76,0,0,0,0.0,1814,0.0,27,26,1402,0,0.0,0,0.0,0,0,130.1,2,0,0.2308,130.1,0.0,0,Survivalist
0.0,0.0,0.0,0,1,132.1,1,1,3,31,0,1,1,5.568,1447,0.0,28,28,1468,0,0.0,0,0.0,0,0,1257.0,5,0,0.5926,1257.0,1.0,4,Aggressive
0.0,0.0,0.0,0,2,207.6,1,0,1,43,0,0,0,0.0,1364,0.0,46,46,1499,0,0.0,0,0.0,0,0,1959.0,4,0,0.7778,1959.0,0.0,3,Survivalist
0.0,0.0,0.0,0,0,0.0,0,0,0,45,0,0,0,0.0,1918,0.0,47,43,1488,0,3220.0,0,0.0,0,0,0.0,3,0,0.0,3220.0,0.0,0,Survivalist
0.0,0.0,0.0,0,1,41.07,1,0,0,43,0,0,0,0.0,2046,0.0,26,26,1684,0,3006.0,0,0.0,0,0,1813.0,3,0,0.72,4819.0,0.0,1,Survivalist
0.0,0.0,0.0,0,1,399.5,3,1,4,5,1632,4,2,30.02,1421,0.0,28,27,0,0,0.0,0,0.0,0,0,352.3,3,1513,0.4074,352.3,0.25,5,Aggressive
0.0,0.0,0.0,0,0,0.0,1,0,1,56,1000,0,0,0.0,1383,0.0,30,30,0,0,0.0,0,0.0,0,0,923.1,4,1500,0.0,923.1,0.0,1,Survivalist
